Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016,Population Estimate (as of July 1) - 2017,Population Estimate (as of July 1) - 2018
0500000US21101,21101,"Henderson County, Kentucky",46250,46246,46260,46340,46441,46369,46407,46399,46301,45989,45591
0500000US21103,21103,"Henry County, Kentucky",15416,15415,15377,15377,15343,15439,15556,15572,15844,15994,16106
0500000US21105,21105,"Hickman County, Kentucky",4902,4902,4859,4781,4735,4707,4678,4610,4606,4523,4421
0500000US21107,21107,"Hopkins County, Kentucky",46920,46918,46840,46846,46621,46442,46177,46077,45628,45369,45068
0500000US21109,21109,"Jackson County, Kentucky",13494,13490,13480,13384,13308,13393,13309,13327,13365,13420,13442
0500000US21111,21111,"Jefferson County, Kentucky",741096,741075,742050,746412,751865,759426,761973,765192,767711,770377,770517
0500000US21113,21113,"Jessamine County, Kentucky",48586,48582,48685,48903,49492,50145,50894,51815,52198,53281,53920
0500000US21115,21115,"Johnson County, Kentucky",23356,23359,23385,23419,23410,23465,23259,23136,22862,22571,22386
0500000US21117,21117,"Kenton County, Kentucky",159720,159723,159954,160300,161274,162705,163210,164092,164676,165410,166051
0500000US21119,21119,"Knott County, Kentucky",16346,16371,16363,16317,16137,16101,15955,15692,15505,15285,15126
0500000US21121,21121,"Knox County, Kentucky",31883,31888,31851,31882,31506,31653,31558,31485,31506,31484,31304
0500000US21123,21123,"Larue County, Kentucky",14193,14189,14177,14187,14060,14031,14117,14121,14024,14211,14307
0500000US21125,21125,"Laurel County, Kentucky",58849,58849,58996,59358,59547,59716,59911,59930,60089,60299,60669
0500000US21127,21127,"Lawrence County, Kentucky",15860,15859,15866,15943,15898,15910,15892,15873,15842,15735,15571
0500000US21129,21129,"Lee County, Kentucky",7887,7887,7718,7708,7581,6879,6796,6742,6593,6590,7033
0500000US21131,21131,"Leslie County, Kentucky",11310,11310,11278,11237,11141,10986,10832,10646,10430,10309,10143
0500000US21133,21133,"Letcher County, Kentucky",24519,24511,24534,24375,24014,23544,23359,23044,22751,22328,21899
0500000US21135,21135,"Lewis County, Kentucky",13870,13883,13836,13804,13773,13686,13763,13600,13474,13358,13257
0500000US21137,21137,"Lincoln County, Kentucky",24742,24736,24721,24719,24406,24440,24429,24343,24376,24498,24644
0500000US21139,21139,"Livingston County, Kentucky",9519,9519,9520,9503,9438,9332,9327,9286,9194,9264,9242
0500000US21141,21141,"Logan County, Kentucky",26835,26832,26852,26846,26726,26985,26823,26751,26670,27014,26989
0500000US21143,21143,"Lyon County, Kentucky",8314,8319,8331,8436,8449,8455,8413,8311,8084,8113,8009
0500000US21145,21145,"McCracken County, Kentucky",65565,65561,65540,65825,65626,65376,65353,64984,65340,65397,65346
0500000US21147,21147,"McCreary County, Kentucky",18306,18306,18329,18286,18056,17929,17922,17879,17542,17423,17408
0500000US21149,21149,"McLean County, Kentucky",9531,9540,9515,9511,9499,9465,9421,9412,9351,9219,9252
0500000US21151,21151,"Madison County, Kentucky",82916,82913,83469,84776,85415,85959,87101,88237,89568,91226,92368
0500000US21153,21153,"Magoffin County, Kentucky",13333,13333,13308,13222,13067,12944,12982,12781,12665,12539,12362
0500000US21155,21155,"Marion County, Kentucky",19820,19823,19830,19995,19920,19922,19071,19216,19152,19316,19404
0500000US21157,21157,"Marshall County, Kentucky",31448,31448,31451,31258,31262,31218,30996,31060,31273,31311,31191
0500000US21159,21159,"Martin County, Kentucky",12929,12929,12913,12849,12746,12670,12514,12304,11961,11495,11323
0500000US21161,21161,"Mason County, Kentucky",17490,17490,17505,17548,17467,17331,17143,17066,17182,17225,17150
